x,y
-0.39568167788833586,0.014083618992002167
-0.39343221969957953,0.01490280726845472
-0.3911827615108233,0.015721995544907053
-0.388933165260917,0.015002329889030719
-0.3866835599555707,0.01418173070239237
-0.38496904071626725,0.01617637061332422
-0.38332964124833413,0.018566236882748388
-0.38166918611958883,0.02091351462488311
-0.37959535595937993,0.022424673569071407
-0.377521525799171,0.023935832513259925
-0.375248711362436,0.024218736281599984
-0.3729299471121178,0.024218009115134498
-0.3706111828617996,0.02421728194866879
-0.3682924186114815,0.024216554782203303
-0.3659736543611633,0.024215827615737817
-0.3636548901108451,0.02421510044927233
-0.361336125860527,0.024214373282806623
-0.3590173616102088,0.024213646116341137
-0.3566985973598906,0.02421291894987565
-0.3543798331095725,0.024212191783409942
-0.3520610688592543,0.024211464616944456
-0.3497423046089361,0.02421073745047897
-0.34747984455258546,0.02487610899305337
-0.3452303863638292,0.0256952972695057
-0.3429809281750729,0.026514485545958255
-0.34073146998631665,0.027333673822410587
-0.3384819103910295,0.02702256701891348
-0.33623230508568325,0.026201967832275352
-0.33398269978033696,0.025381368645637226
-0.33173309447499066,0.024560769458998877
-0.329582857361602,0.023348447115419058
-0.3275087559318047,0.021835987376312316
-0.3253538864010784,0.020822580859696904
-0.3230351221507602,0.020821853693231418
-0.32073918865435774,0.020550470339882887
-0.31848958334901145,0.019729871153244982
-0.3163459041639335,0.018584765506556078
-0.314490710790507,0.016555878699217708
-0.31263551741708057,0.01452699189187956
-0.3105374262545459,0.013144647031537726
-0.30836619313932506,0.011956990400638468
-0.3061949600241041,0.010769333769739431
-0.30402372690888313,0.009581677138840172
-0.30181357687902055,0.008576288519132724
-0.29956397157367437,0.007755689332494375
-0.29757981346271123,0.008331682894933357
-0.29594041399477805,0.010721549164357302
-0.29430101452684493,0.01311141543378147
-0.29224952228679835,0.014051182578942
-0.28993075803648016,0.014050455412476515
-0.287611993786162,0.014049728246011028
-0.28529322953584385,0.01404900107954532
-0.28297446528552567,0.014048273913079834
-0.2806557010352075,0.014047546746614348
-0.2783789768313766,0.01454416833376615
-0.27612951864262036,0.015363356610218482
-0.27387998027052535,0.015288807249802305
-0.2716303749651791,0.014468208063163956
-0.2695716358204323,0.01502471526759841
-0.26771680639334977,0.017052438608591736
-0.2658619769662672,0.019080161949585284
-0.26361903812564697,0.01991931547334236
-0.2613695799368906,0.020738503749794912
-0.2592820379664392,0.02219563845555239
-0.25720820780623027,0.02370679739974091
-0.2552843316549407,0.02278998408907129
-0.2534291382815142,0.02076109728173292
-0.25148778608641553,0.01910916220611769
-0.24916902183609735,0.019108435039652205
-0.24685025758577916,0.01910770787318672
-0.24453149333546104,0.01910698070672101
-0.24222561024074718,0.019258642208211496
-0.2399761520519909,0.020077830484663828
